地點名稱,搜尋名稱,分類,MapCode,說明,建議行程時間
17END (幻之沙灘),"17END, Miyakojima",景點,727 702 329*60,下地島最北端跑道盡頭的幻之沙灘,Day 1 14:20
渡口の浜,"渡口の浜, Miyakojima",景點,727 611 405*25,伊良部島南部極細白沙灘,Day 1 15:15
ecot Sunayama Beach,"ecot Sunayama Beach, Miyakojima",住宿,310 512 437*33,Day 1-2 公寓式酒店住宿,Day 1 17:00 入住
砂山海灘,"砂山海灘, Miyakojima",景點,310 512 437*33,北部著名天然海蝕拱門石洞戲水與落日觀賞點,Day 1 18:30 / Day 2 09:00
Island Brewing Miyakojima,"Island Brewing Miyakojima, Miyakojima",餐飲 (素食友善),310 453 381*22,提供素沙拉與素墨西哥餅 (週一有營業/週三休),Day 1 19:30 晚餐
Nishigaki 超市 (西里店),"主婦の店 にしがき 西里店, Miyakojima",購物,310 453 381*22,採買島雪鹽與自炊食材,Day 1 18:00
宮古島海中公園,"宮古島海中公園, Miyakojima",景點,310 723 821*28,免下水海底玻璃窗觀察野生生態,Day 2 10:30
雪鹽工廠,"雪塩ミュージアム, Miyakojima",景點,310 724 167*00,吃雪鹽霜淇淋 (蛋奶素) 與伴手禮採購,Day 2 11:30
池間大橋,"池間大橋, Miyakojima",景點,310 751 721*11,眺望震撼的池間藍漸層海面,Day 2 12:30
Gelato Cafe Ninufa,"Gelato Cafe Ninufa, Miyakojima",餐飲 (素食友善),310 780 236*55,池間大橋出口旁手工蛋奶素披薩與冰淇淋 (週三休),Day 2 13:00 午餐
Doug’s Coffee,"Doug’s Coffee, Miyakojima",餐飲 (咖啡),310 452 435*88,市區極佳淺焙手沖咖啡 (避免15:00後飲用),Day 2 14:15 下午茶
Canopy by Hilton Miyakojima,"Canopy by Hilton Miyakojima, Miyakojima",住宿,310 452 435*88,五星無邊際泳池度假村住宿,Day 2 15:00 入住
natural protein,"natural protein, Miyakojima",餐飲 (素食友善),310 453 194*44,健康能量碗與水果奶昔 (週三休/18:00關門),Day 2 17:30 晚餐
Minaaiya (豆腐飯糰),"皆愛屋, Miyakojima",餐飲 (純素),310 452 743*11,100%安全純素豆腐飯糰 (週六休/週三有開),Day 3 12:00 午餐
龍宮城展望台,"龍宮城展望台, Miyakojima",景點,310 250 156*33,來間島地標，360度眺望前濱沙灘與來間大橋,Day 3 13:30
PaniPani,"PaniPani, Miyakojima",餐飲 (咖啡),310 250 156*33,來間島人氣沙地露天咖啡 (推薦芒果汁/椰奶冰沙),Day 3 14:30 下午茶
Nagamahama beach,"Nagamahama beach, Miyakojima",景點,310 250 120*11,來間島西側幽靜的沙灘散步,Day 3 15:30
Hotel Miyakojima,"Hotel Miyakojima, Miyakojima",住宿,310 452 743*11,Day 3-5 公寓式可自炊酒店,Day 3 18:00 入住
Ingya Marine Garden,"イムギャーマリンガーデン, Miyakojima",景點/體驗,310 318 644*00,天然內灣生態池。Day 3夜間探索尋找椰子蟹；Day 5下午陸上步道觀察地貌,Day 3 20:00 夜遊 / Day 5 14:00 散步
Blue Seal 冰淇淋 (久貝店),"Blue Seal, Kugai, Miyakojima",餐飲 (甜點),310 452 355*00,沖繩代表冰淇淋 (調至下午享用),Day 4 15:30 下午茶
coffee shop Majya,"coffee shop Majya, Miyakojima",餐飲 (咖啡),310 453 252*44,職人手沖精品黑咖啡店,Day 4 16:15 咖啡
DOUG'S BURGER,"DOUG'S BURGER, Miyakojima",餐飲 (素食友善),310 452 465*00,厚大香菇植物肉漢堡 (需備註去洋蔥),Day 4 18:30 晚餐
東平安名岬,"東平安名岬, Miyakojima",景點,310 215 529*66,最東端壯麗海岬，日出觀賞點,Day 5 05:30 日出
Aragusuku Beach 新城海岸,"新城海岸, Miyakojima",景點,310 326 777*00,熱門海龜共游海灘，改為清晨不下水陸上尋龜,Day 5 06:45 岸上尋龜
Shigira Beach,"シギラビーチ, Miyakojima",體驗,310 160 300*11,Klook海龜和珊瑚礁浮潛體驗 (今日唯一水下行程),Day 5 10:30 浮潛
Shigira 黃金溫泉,"シギラ黄金温泉, Miyakojima",體驗,310 160 523*00,露天溫泉與戲水溫水池舒緩疲勞,Day 5 15:15 溫泉
Hi Sun CAFE,"Hi Sun CAFE, Miyakojima",餐飲 (素食友善),310 453 381*22,溫馨美味的素食簡餐 (對調後今天時間非常寬裕),Day 5 18:30 晚餐
宮古島公設市場,"宮古島公設市場, Miyakojima",購物,310 453 194*44,購買伴手禮特產黑糖,Day 6 09:00
Cafe 373 & Spices,"Cafe 373 & Spices, Miyakojima",餐飲 (素食友善),310 454 112*00,香料風味斯里蘭卡素食咖哩 (週三休/週六營業),Day 6 11:15 午餐
